Table DR2. Nominally interseismic GPS velocity field used to constrain the block model.
Columns give: station name, longitude, latitude, east velocity, north velocity, east
uncertainty, north uncertainty!
!
Station Lon. Lat. V_e V_n S_e S_n!
F751_GPS 235.801 43.340 4.490 11.560 0.970 1.110!
F760_GPS 237.375 42.142 -3.230 5.430 0.770 0.890!
FAAS_GPS 243.881 45.942 -0.250 -0.020 0.740 0.840!
FALL_GPS 238.867 46.629 2.580 2.700 0.810 0.750!
FARB_GPS 236.999 37.697 -28.543 37.791 0.573 0.571!
FARO_GPS 236.661 42.423 -1.860 8.540 0.600 0.660!
FARV_GPS 237.347 43.586 -0.050 7.450 0.660 0.750!
FARW_GPS 236.624 47.015 5.600 6.690 0.500 0.560!
FERR_GPS 241.845 48.278 -0.600 0.010 1.290 1.710!
FHAM_GPS 236.140 44.019 4.520 9.560 1.560 1.540!
FILB_GPS 234.302 49.883 4.430 4.210 0.750 0.790!
FISH_GPS 235.732 42.046 2.692 10.639 0.622 0.570!
FLAT_GPS 244.685 46.339 0.890 0.480 0.690 0.760!
FLIN_GPS 258.022 54.726 -0.121 -1.188 0.328 0.342!
FORE_GPS 241.042 45.138 0.500 1.260 0.690 0.830!
FORK_GPS 235.604 47.937 12.920 9.180 0.530 0.540!
FOSS_GPS 239.780 45.000 -0.750 2.150 0.920 0.920!
FOUR_GPS 234.718 49.192 6.410 6.160 0.600 0.630!
FRAN_GPS 236.500 46.541 6.110 7.650 0.480 0.510!
FRDC_GPS 234.493 48.985 9.080 9.010 0.790 0.890!
FRED_GPS 247.501 36.988 -1.830 -0.240 0.384 0.412!
FRND_GPS 237.397 48.892 3.580 3.540 1.060 1.350!
FTS1_GPS 236.044 46.205 8.520 8.740 0.260 0.260!
G118_GPS 240.048 42.098 -3.520 3.680 0.670 0.750!
G370_GPS 238.731 48.674 2.810 2.340 0.610 0.620!
G404_GPS 243.627 46.142 0.380 0.430 0.720 0.830!
G753_GPS 239.491 44.353 -0.950 1.840 1.370 1.120!
GABR_GPS 236.180 49.203 4.570 4.390 0.700 0.660!
GARL_GPS 240.645 40.417 -5.592 2.830 0.391 0.354!
GARY_GPS 236.930 45.612 2.970 5.650 0.460 0.480!
GENT_GPS 241.923 43.744 -1.810 1.120 1.200 0.840!
GLAC_GPS 234.636 49.552 5.640 4.300 0.710 0.760!
GLDH_GPS 237.213 47.549 5.420 4.590 0.410 0.430!
GO89_GPS 235.572 42.421 3.710 12.820 0.440 0.390!
GOBS_GPS 239.185 45.839 1.026 3.277 0.543 0.543!
GODE_GPS 283.173 39.022 0.267 -0.008 0.298 0.297!
GP14_GPS 235.822 47.114 13.540 12.580 0.450 0.500!
GP17_GPS 238.375 47.138 2.490 2.850 0.630 0.640!
GP29_GPS 238.406 48.486 1.160 2.290 0.580 0.570!
GP35_GPS 236.351 46.334 6.730 7.080 0.610 0.640!
GP37_GPS 237.857 48.917 2.560 1.700 0.700 0.860!
GRAY_GPS 235.900 46.903 10.840 10.940 0.470 0.480!
GREN_GPS 237.474 41.555 -4.430 4.380 1.130 1.390!
GREV_GPS 235.721 47.304 14.790 12.390 0.330 0.350!
GREY_GPS 235.296 48.996 7.240 7.160 0.630 0.670!
GRND_GPS 236.361 45.082 4.210 6.490 0.470 0.480!
GRSM_GPS 238.223 48.539 3.400 3.870 0.830 1.030!
GTRG_GPS 246.759 43.244 -2.278 -0.261 0.430 0.367!
GWEN_GPS 238.672 45.783 2.290 2.310 0.970 0.970!
H318_GPS 243.813 41.962 -3.210 0.600 0.760 0.710!
H428_GPS 239.785 45.745 0.760 2.130 1.300 1.510!
HAFF_GPS 237.824 47.485 3.260 3.900 0.700 0.740!
HAMI_GPS 235.935 44.602 6.590 8.960 0.420 0.440!
HAND_GPS 235.041 49.069 6.120 6.110 0.600 0.630!
HANS_GPS 236.430 45.885 5.100 6.580 0.500 0.520!
HARD_GPS 232.619 50.698 -0.110 3.310 0.770 0.800!
HEAD_GPS 235.924 46.300 9.560 10.480 0.730 0.740!
HEBE_GPS 248.627 40.514 -0.934 -0.239 0.409 0.408!
HELE_GPS 237.199 45.857 2.980 6.940 0.400 0.440!
HKUS_GPS 234.159 50.335 3.370 4.180 0.760 0.780!
HLID_GPS 245.586 43.563 -2.135 -0.137 0.384 0.444!
HOLB_GPS 231.865 50.640 0.110 3.730 0.630 0.630!
HOPB_GPS 236.925 38.995 -18.965 21.068 0.427 0.424!
HOWE_GPS 237.120 44.990 2.810 6.810 0.470 0.490!
HRMA_GPS 240.741 45.827 -0.250 1.380 0.490 0.510!
HUBB_GPS 237.189 45.179 4.150 7.270 1.070 1.280!
HUR2_GPS 236.471 47.990 6.600 5.650 0.450 0.470!
HUSB_GPS 238.151 44.120 -3.350 11.080 0.770 0.790!
HYAK_GPS 238.608 47.388 2.930 2.350 1.070 1.330!
ICEB_GPS 237.115 48.420 4.950 4.140 0.580 0.500!
ICEH_GPS 241.120 46.251 -0.780 1.480 1.420 1.180!
ILLA_GPS 236.318 42.104 -1.157 8.633 0.791 0.682!
IMP0_GPS 237.174 44.795 2.840 6.320 0.540 0.580!
ISLE_GPS 236.051 45.273 5.680 9.480 1.410 1.530!
J090_GPS 240.143 44.119 -0.810 2.270 0.480 0.510!
JAIL_GPS 237.029 44.876 2.610 6.390 0.980 1.140!
JENS_GPS 231.735 50.646 -1.470 3.840 0.920 0.940!
JHRT_GPS 234.603 50.033 4.160 4.330 0.760 0.780!
JOHN_GLA 243.901 36.459 -3.320 -0.260 0.380 0.370!
JONY_GPS 240.372 44.623 -0.800 1.140 0.670 0.670!
JOSE_GPS 242.748 45.349 -0.370 0.390 0.540 0.570!
JRDR_GPS 235.897 48.465 6.730 5.240 1.260 1.080!
JUNC_GPS 239.053 44.920 0.360 2.598 0.532 0.550!
JUST_GPS 237.123 42.323 -2.460 7.360 0.460 0.530!
JUSW_GPS 242.941 48.179 0.870 0.050 0.600 0.670!
K024_GPS 242.268 48.208 0.430 1.410 0.870 1.000!
KAMI_GPS 243.995 46.213 1.280 1.260 0.610 0.680!
KELL_GPS 241.341 48.698 1.080 0.970 0.930 0.650!
KELS_GPS 237.104 46.118 3.700 6.145 0.444 0.447!
KING_GPS 232.229 51.854 -3.740 2.470 0.930 0.960!
KINW_GPS 237.352 47.735 5.730 4.620 0.670 0.810!
KLAS_GPS 236.280 46.089 6.480 7.210 0.640 0.710!
KLUC_GPS 232.836 50.573 1.360 4.700 1.200 1.230!
KOPR_GPS 232.101 50.486 2.750 2.860 0.840 0.860!
KTBW_GNI 237.205 47.547 3.851 4.259 0.442 0.442!
KWJ1_GPS 167.730 8.722 -69.881 44.642 0.559 0.534!
L387_GPS 239.937 47.656 1.300 1.680 0.600 0.570!
LANG_GPS 237.044 44.566 2.790 6.300 0.600 0.620!
LARC_GPS 237.912 45.533 1.630 7.640 1.180 1.210!
LATA_GPS 242.868 47.274 1.050 1.300 0.660 0.770!
LAZA_GPS 236.176 48.612 5.170 4.170 1.150 0.980!
LESL_GPS 236.762 43.706 1.500 6.380 0.680 0.830!
LEV1_GPS 226.907 56.466 -3.165 2.754 0.602 0.682!
LEWG_GPS 237.379 47.094 3.670 6.540 0.570 0.630!
LINH_GPS 239.461 47.000 1.550 2.210 0.370 0.380!
LITT_GLA 243.692 36.746 -3.330 -0.190 0.380 0.370!
LK42_GPS 236.330 48.150 6.260 5.130 0.780 0.850!
LKCP_GNI 238.169 47.944 2.026 3.293 0.492 0.472!
LKWY_GPS 249.600 44.565 0.221 -3.584 0.364 0.574!
LMUT_GPS 248.072 40.261 -2.821 -0.066 0.719 0.735!
LOPE_GPS 240.646 41.997 -3.740 2.470 0.660 0.700!
LOWL_GPS 237.205 43.922 2.200 5.630 1.080 1.070!
LSII_GPS 240.663 47.185 0.580 0.950 0.450 0.480!
LUCA_GPS 235.941 42.552 2.160 10.730 1.320 1.200!
LUTZ_GPS 238.135 37.287 -20.350 22.834 0.456 0.453!
M746_GPS 235.678 42.183 3.150 13.720 0.760 0.700!
MACK_GPS 236.869 45.190 2.910 7.370 1.070 1.140!
MAWY_GPS 249.311 44.973 0.563 0.599 0.397 0.424!
MDMT_GPS 238.778 42.418 -5.226 6.176 0.602 0.587!
MENZ_GPS 234.503 50.231 2.580 4.440 0.740 0.750!
MERC_GLA 244.021 36.633 -3.240 -0.550 0.380 0.370!
MESA_GPS 240.993 46.621 0.310 1.500 0.560 0.520!
MHCB_GPS 238.357 37.342 -14.120 10.815 0.370 0.368!
MILL_GPS 237.520 44.752 2.250 5.880 0.530 0.580!
MKEA_GPS 204.544 19.801 -60.500 51.831 0.386 0.384!
MOAK_GPS 233.942 50.104 4.630 4.060 0.780 0.820!
MODB_1PS 239.697 41.902 -4.750 3.660 0.510 0.510!
MOLA_GPS 237.580 37.947 -18.834 23.127 0.424 0.421!
MONB_GPS 238.133 37.485 -16.218 16.149 0.458 0.456!
MOON_GPS 236.165 44.777 5.220 8.370 0.500 0.460!
MORT_GPS 237.730 46.551 3.440 5.120 0.320 0.330!
MRS1_GNI 238.065 47.142 2.320 3.890 0.460 0.480!
MRY5_GPS 236.448 44.504 4.150 7.850 0.570 0.560!
MTAD_GPS 238.458 46.000 2.140 5.010 0.830 0.860!
N274_GPS 236.212 45.907 5.420 8.350 0.680 0.730!
N469_GPS 235.881 48.198 8.340 6.800 0.630 0.780!
N748_GPS 236.618 42.621 -2.560 8.710 1.540 1.420!
NACH_GPS 235.001 49.949 4.540 5.020 0.720 0.750!
NAIU_GPS 247.770 41.016 -1.540 -0.860 0.320 0.310!
NANO_GPS 235.914 49.295 4.480 4.920 0.330 0.320!
NBCG_GPS 235.401 48.370 9.670 8.210 0.500 0.500!
NEAH_GPS 235.375 48.298 10.238 8.419 0.466 0.492!
NESK_GPS 236.034 45.134 7.360 9.320 0.390 0.400!
NESM_GPS 236.772 44.925 3.410 7.410 0.620 0.650!
NOMT_GPS 248.370 45.597 0.123 -0.510 0.430 0.433!
NTKA_GPS 233.383 49.592 6.690 8.500 0.700 0.730!
OFWY_GPS 249.168 44.452 -3.512 -0.534 0.826 0.763!
OGIL_GPS 241.039 44.410 -1.660 1.910 0.740 0.710!
OHLN_GPS 237.727 38.006 -15.935 17.510 0.778 0.778!
OHME_GNI 239.674 47.480 2.650 1.640 0.970 1.000!
OKAY_GPS 235.736 49.228 4.910 5.200 0.510 0.530!
OLYM_GPS 237.092 46.967 3.990 5.600 0.380 0.320!
OP25_GPS 236.076 46.972 10.380 8.700 0.450 0.470!
ORCC_GPS 237.339 47.446 4.730 3.620 0.990 1.150!
ORVB_GPS 238.500 39.555 -10.737 6.620 0.427 0.424!
OVER_GPS 237.858 47.636 2.700 3.760 0.870 0.990!
OYST_GPS 234.600 49.823 4.690 4.910 0.730 0.770!
P75Z_GPS 235.825 43.124 1.990 10.090 0.540 0.560!
PABH_GPS 235.795 47.213 13.566 11.745 0.381 0.381!
PACH_GPS 234.957 48.865 8.180 7.170 0.560 0.580!
PACI_GPS 237.125 42.336 -1.520 6.820 1.610 0.860!
PACK_GPS 238.325 46.607 2.000 4.530 0.970 0.990!
PAIN_GPS 237.728 47.908 2.920 3.040 0.810 0.880!
PAIS_GPS 239.451 42.704 -2.220 2.590 0.780 0.920!
PARK_GPS 236.540 46.268 6.650 8.130 0.500 0.570!
PAUL_GPS 240.969 45.499 0.670 1.690 0.870 0.870!
PBL1_GPS 237.581 37.853 -23.104 21.666 0.433 0.430!
PETE_GPS 237.031 44.510 2.410 6.580 0.740 0.820!
PGC4_GPS 236.549 48.648 4.700 4.120 0.530 0.530!
PIER_GPS 233.878 49.619 7.000 5.230 0.730 0.770!
PLUD_GPS 237.317 47.922 5.020 3.780 0.620 0.700!
POCA_GPS 235.555 49.710 3.570 4.560 0.580 0.640!
POIN_GLA 243.880 36.580 -3.170 -0.320 0.380 0.370!
PONS_GPS 235.883 44.170 5.910 9.020 1.490 1.500!
POTB_GPS 238.065 38.203 -11.287 8.540 0.461 0.458!
POWE_GPS 235.544 49.807 4.560 4.370 0.600 0.670!
PPT1_GPS 237.610 37.187 -28.966 35.352 0.433 0.430!
PRAI_GPS 236.176 45.421 4.940 9.060 1.090 1.290!
PRDS_GPS 245.707 50.871 0.653 -1.280 0.458 0.456!
PRES_GPS 237.075 46.040 3.300 7.080 0.750 0.650!
PRIN_GPS 239.135 44.301 -0.430 4.190 0.580 0.550!
PROS_GPS 237.489 42.741 -1.890 6.770 0.710 0.800!
PTAL_GPS 235.139 49.256 5.300 5.160 0.730 0.720!
PTAN_GPS 236.505 48.117 5.190 5.270 0.660 0.650!
PTHY_GPS 232.625 50.686 -0.100 4.850 0.730 0.700!
PTS5_GPS 237.280 46.533 4.530 5.600 0.560 0.660!
PTSG_GPS 235.745 41.783 2.599 11.685 0.392 0.373!
PUPU_GNI 237.992 47.500 2.698 2.735 0.500 0.502!
QUIN_GPS 239.056 39.975 -9.377 6.451 0.418 0.412!
R378_GPS 239.744 48.508 -0.380 3.770 0.500 0.530!
R409_GPS 242.751 45.929 0.410 0.500 0.460 0.490!
R489_GPS 242.543 44.578 -1.250 1.380 0.720 0.590!
RADA_GPS 234.159 49.084 9.310 7.380 0.600 0.650!
RBUT_GPS 248.191 40.781 -1.360 -0.110 0.330 0.320!
REDM_GPS 238.852 44.260 -0.013 3.521 0.515 0.515!
REPO_GLA 243.532 36.840 -3.256 -1.988 1.014 1.016!
REST_GPS 236.539 45.797 4.620 7.430 0.480 0.480!
REUB_GPS 236.403 42.719 -1.220 8.900 0.340 0.340!
RKBU_GPS 237.434 45.547 2.340 5.970 0.340 0.360!
RKPT_GPS 237.900 42.473 -3.290 6.300 0.700 0.810!
ROBI_GPS 232.399 51.186 -1.830 2.700 0.860 0.890!
ROG2_GPS 235.572 42.430 4.200 13.170 0.970 0.900!
ROGE_1HT 242.915 36.218 -4.700 2.830 0.400 0.390!
ROSE_GPS 236.645 43.246 -0.890 7.520 0.400 0.410!
ROSW_GPS 240.263 48.394 0.230 1.540 0.870 0.840!
RPT1_GPS 237.625 47.388 3.230 4.000 0.390 0.390!
RYAN_1HT 243.350 36.316 -3.591 1.061 0.594 0.594!
S262_GPS 242.950 46.426 2.010 0.130 0.720 0.660!
S300_GPS 238.442 37.667 -11.777 8.919 0.437 0.437!
S381_GPS 243.742 48.731 1.260 -0.130 0.580 0.650!
S389_GPS 239.930 48.157 0.920 1.450 0.510 0.550!
S418_GPS 244.162 42.880 -2.760 -0.410 0.810 0.840!
S509_GPS 241.287 47.761 1.380 0.680 1.120 0.850!
SARD_GPS 237.686 43.963 1.770 4.590 0.650 0.670!
SARG_GPS 239.523 46.602 0.970 1.820 0.570 0.610!
SATS_GPS 236.459 46.966 6.010 7.530 0.760 0.810!
SATU_GPS 236.829 48.774 4.220 4.190 1.330 1.050!
SC00_GNI 239.275 46.951 1.442 2.191 0.502 0.485!
SC02_GNI 236.992 48.546 3.529 3.397 0.608 0.594!
SCAR_GPS 231.992 50.654 1.090 2.650 0.860 0.880!
SCAZ_GPS 236.796 45.469 4.660 6.050 1.330 1.450!
SCHO_GPS 237.125 47.824 6.180 5.260 0.790 0.830!
SCOT_GPS 236.935 43.372 -0.210 7.060 0.350 0.360!
SDNY_GPS 236.897 44.780 3.780 8.150 0.830 0.860!
SDRO_GPS 237.772 48.508 3.060 3.320 0.520 0.560!
SEAT_GPS 237.691 47.654 3.784 3.839 0.495 0.439!
SECH_GPS 236.123 49.598 3.590 4.730 0.570 0.630!
SEDR_GPS 237.776 48.522 2.901 3.252 0.480 0.464!
SENT_GPS 234.042 49.956 4.550 3.930 1.020 1.040!
SEYM_GPS 232.720 51.465 -0.270 3.430 0.880 0.920!
SHEP_GPS 235.813 49.535 4.230 4.740 0.530 0.560!
SHER_GPS 236.079 48.377 6.900 4.510 1.520 1.230!
SHUS_GPS 232.191 50.781 -0.670 3.380 1.070 1.090!
SILV_GPS 238.939 43.125 -2.120 4.470 1.450 1.320!
SISK_GPS 236.303 45.483 5.950 8.570 0.480 0.450!
SIST_GPS 238.444 44.306 0.924 3.862 0.520 0.527!
SITA_GPS 237.447 47.571 1.780 4.020 1.590 1.870!
SKIL_GPS 238.103 42.318 -3.680 6.210 0.880 0.920!
SKUL_GLA 243.789 36.730 -3.470 -0.200 0.380 0.370!
SKYO_GPS 238.872 44.634 0.050 1.950 0.660 0.830!
SLID_GPS 240.116 39.314 -9.908 5.598 0.486 0.453!
SLVR_GPS 238.428 48.079 2.900 3.720 1.200 1.540!
SMEL_GPS 247.155 39.426 -3.077 -0.366 0.400 0.400!
SMLT_GPS 243.824 47.546 0.710 0.090 0.580 0.640!
SMYC_GLA 244.413 36.320 -3.520 -0.510 0.380 0.370!
SNDR_GPS 236.859 47.237 4.550 6.000 0.570 0.580!
SNI1_GPS 240.476 33.248 -31.784 34.473 0.416 0.404!
SOAM_GPS 236.450 44.038 2.730 7.710 0.520 0.560!
SOBE_GPS 236.190 46.663 7.630 9.330 0.490 0.550!
SODB_GPS 238.074 37.166 -21.958 25.524 0.477 0.476!
SOOS_GPS 235.886 43.885 5.800 10.740 0.680 0.730!
SOR4_GPS 237.521 42.065 -3.720 6.340 0.380 0.380!
SPAT_GPS 231.673 50.678 -0.380 4.820 0.870 0.900!
SPIL_GPS 238.700 46.873 2.080 3.080 0.550 0.620!
SPN1_GPS 242.576 47.518 0.290 0.340 0.470 0.470!
SPOO_GPS 237.836 47.401 4.040 4.830 0.810 0.830!
SPRO_GPS 237.126 45.269 2.970 6.250 0.450 0.430!
STEV_GPS 238.117 45.692 2.060 4.340 0.610 0.670!
STJO_GPS 307.322 47.595 0.473 0.039 0.414 0.414!
STNN_GPS 240.215 41.583 -4.020 2.530 0.660 0.690!
STOL_GPS 238.330 45.304 1.860 4.950 0.500 0.590!
STRA_GPS 234.417 49.995 3.300 4.340 0.750 0.790!
STRI_GLA 243.662 36.645 -3.230 0.150 0.380 0.370!
SUAA_GPS 237.827 37.427 -22.133 25.520 0.453 0.450!
T739_GPS 236.681 43.465 0.840 7.750 1.020 0.870!
T758_GPS 235.607 42.586 -1.060 12.190 0.980 0.900!
TAHU_GPS 236.887 47.387 5.670 5.600 0.450 0.480!
THR3_GPS 244.897 42.087 -3.310 0.910 0.900 0.890!
THUN_GPS 237.710 47.103 3.940 4.800 0.560 0.580!
TIBB_GPS 237.552 37.891 -20.026 24.386 0.456 0.453!
TID3_GPS 235.670 43.350 5.080 11.270 0.580 0.450!
TIGR_GPS 238.015 47.509 2.600 3.270 0.400 0.410!
TIMB_GPS 238.288 45.334 2.100 3.510 0.630 0.770!
TOBY_GPS 235.336 49.490 4.090 5.300 0.670 0.700!
TOKE_GPS 237.572 43.228 -0.990 4.880 0.660 0.710!
TOMB_GPS 240.934 43.585 -1.870 1.120 0.720 0.760!
TONA_GPS 240.548 48.694 1.620 0.440 0.870 0.940!
TRIA_GPS 236.433 44.185 3.000 9.080 0.560 0.610!
TRND_GPS 235.849 41.054 3.373 16.454 0.392 0.374!
TSWY_GPS 249.403 43.674 -1.326 -0.802 0.505 0.507!
TUCK_GPS 236.597 48.140 7.470 4.530 1.380 1.190!
TURN_GPS 241.993 42.923 -2.610 0.290 0.880 0.770!
TWIN_GPS 236.996 44.325 2.660 5.630 0.850 0.860!
U701_GPS 242.417 44.259 -4.910 3.400 2.000 1.480!
U727_GPS 236.453 44.594 4.030 8.630 0.570 0.670!
U73H_GPS 239.782 44.631 -1.390 1.910 0.800 0.820!
U76A_GPS 244.269 43.131 -0.120 -0.960 0.970 0.900!
UCD1_GPS 238.249 38.536 -11.530 7.397 0.418 0.415!
UCLU_GPS 234.458 48.926 9.010 7.640 0.310 0.300!
V162_GPS 244.442 43.490 -2.570 0.260 1.240 0.850!
V357_GPS 238.973 42.393 -3.400 4.720 0.690 0.820!
V546_GPS 238.122 42.574 -1.940 6.070 0.610 0.670!
V696_GPS 241.385 42.450 -2.240 0.740 0.870 0.750!
VANC_GPS 237.256 45.672 5.850 4.900 1.030 1.120!
VLBI_GPS 236.513 48.390 5.213 4.541 0.367 0.358!
WALA_GPS 241.717 46.088 -0.100 0.310 0.500 0.520!
WAS2_GPS 234.703 49.752 3.350 4.960 1.750 1.660!
WELK_GPS 236.417 43.644 0.680 8.880 1.540 1.850!
WHD1_GPS 237.304 48.313 5.300 4.390 0.840 0.900!
WHEY_GPS 237.965 45.376 1.070 5.570 0.510 0.560!
WHIT_GPS 224.778 60.751 0.640 2.978 0.461 0.458!
WILD_GPS 241.629 40.015 -5.460 1.500 1.330 0.930!
WILL_GPS 237.832 52.237 -0.604 0.581 0.435 0.435!
WILS_GPS 239.479 47.012 2.780 1.420 0.590 0.550!
WORD_GPS 237.232 48.141 4.820 3.690 0.640 0.620!
WSLR_GPS 237.079 50.127 2.040 2.460 0.380 0.390!
X537_GPS 235.943 46.516 8.810 11.060 0.560 0.620!
Y109_GPS 238.865 45.233 0.720 2.500 0.460 0.480!
Y129_GPS 242.284 42.013 -3.890 1.490 1.050 1.070!
Y405_GPS 243.709 45.656 2.290 0.950 0.860 0.930!
Y502_GPS 238.634 44.823 0.930 3.120 0.570 0.710!
Y683_GPS 236.781 44.689 3.610 7.360 1.540 0.820!
YALE_GPS 237.682 46.026 2.130 4.710 0.380 0.400!
YAMB_GPS 236.861 45.070 3.150 6.650 0.530 0.560!
YOUB_GPS 235.738 48.901 5.880 5.240 0.440 0.430!
Z231_GPS 242.667 47.969 2.400 -0.050 1.130 1.380!
Z264_GPS 242.112 48.541 0.840 0.720 0.440 0.460!
Z478_GPS 236.888 47.033 5.550 6.670 0.470 0.510!
RVAL_GPS 244.598 35.142 -2.375 0.701 0.709 0.707!
1PDI_GPS 243.837 36.690 -1.554 1.111 0.753 0.758!
SHOS_GPS 243.739 36.943 -1.685 1.663 0.752 0.753!
SILV_GHT 243.709 35.397 -5.139 0.291 1.320 1.300!
FUNE_GPS 243.525 36.397 -3.139 1.452 0.695 0.700!
P_42_GHT 243.448 35.426 -4.634 1.925 1.420 1.370!
BLAK_GPS 243.425 36.809 -3.124 1.908 1.370 1.370!
CLAI_GPS 243.319 36.889 -4.246 1.507 1.370 1.380!
P16X_GPS 243.254 36.828 -3.074 2.929 0.779 0.797!
F23X_GPS 243.138 36.858 -3.431 2.976 0.750 0.766!
MO93_GPS 243.071 36.792 -4.106 2.720 0.758 0.775!
BM8Z_GPS 243.022 36.724 -3.242 2.544 0.718 0.725!
GS36_GPS 242.958 35.168 -10.024 10.569 1.350 1.360!
SCTY_GPS 242.863 37.218 -3.179 2.008 1.040 1.020!
STOV_GPS 242.853 36.606 -4.935 3.430 0.757 0.763!
GS13_GPS 242.851 35.522 -6.988 8.215 0.698 0.698!
GS49_GHT 242.837 35.375 -6.795 11.520 1.300 1.290!
PANA_GPS 242.826 36.294 -4.505 3.881 0.678 0.682!
GS07_GPS 242.821 36.035 -6.044 5.207 0.698 0.700!
GS14_GPS 242.801 35.615 -7.484 7.983 0.700 0.702!
RAIN_GPS 242.792 34.975 -9.224 12.368 0.723 0.725!
G165_GPS 242.788 36.543 -4.426 3.724 0.763 0.770!
X137_GPS 242.720 36.402 -5.299 4.383 0.733 0.733!
NEV1_GPS 242.714 37.061 -3.346 2.691 1.010 0.990!
GS25_GPS 242.711 35.913 -6.568 6.654 0.698 0.698!
M137_GPS 242.700 36.349 -4.904 6.120 0.758 0.766!
GS47_GHT 242.683 35.214 -9.331 12.163 1.320 1.320!
TRN1_GPS 242.672 35.813 -6.676 6.721 0.709 0.711!
GS12_GPS 242.667 35.434 -8.219 10.032 0.704 0.705!
GRAP_GPS 242.640 36.992 -3.753 2.477 1.030 1.010!
GS20_GPS 242.599 35.769 -7.725 8.200 0.700 0.700!
13DD_GPS 242.576 36.340 -6.362 6.102 0.747 0.763!
GS27_GPS 242.546 36.053 -7.043 6.623 0.728 0.728!
GS48_GPS 242.541 35.584 -8.703 10.695 1.340 1.360!
HUNT_GPS 242.521 36.572 -5.277 4.147 1.060 1.050!
GS24_GPS 242.518 35.925 -8.409 7.081 0.709 0.711!
TINP_GPS 242.500 36.865 -3.966 3.879 1.020 1.010!
FMTH_GPS 242.495 35.213 -9.901 12.249 1.320 1.320!
JACK_GPS 242.460 36.532 -5.742 4.442 1.060 1.050!
GS26_GCO 242.458 35.740 -8.598 8.733 1.170 1.170!
GS43_GPS 242.454 36.067 -7.882 6.753 1.280 1.280!
TEAK_GPS 242.454 36.759 -4.609 3.783 1.040 1.010!
L166_GPS 242.450 36.279 -6.633 5.925 0.760 0.781!
GS17_GPS 242.443 35.569 -9.729 10.485 0.700 0.702!
GS45_GPS 242.443 36.002 -7.566 7.524 1.280 1.290!
FLAT_GPS 242.439 36.519 -5.476 3.964 1.060 1.060!
T19S_GPS 242.417 36.232 -7.588 6.121 0.768 0.789!
GS11_GPS 242.415 35.429 -9.122 12.012 0.747 0.750!
GS50_GPS 242.409 35.083 -10.772 13.997 1.330 1.320!
LEEF_GPS 242.388 36.497 -6.008 5.568 1.060 1.070!
GS42_GPS 242.368 36.107 -8.190 5.990 1.290 1.300!
GS28_GPS 242.359 36.307 -6.582 5.536 0.673 0.669!
GS34_GPS 242.328 36.094 -9.959 6.074 1.140 1.120!
6813_GPS 242.325 36.150 -8.914 5.348 0.731 0.738!
TABL_GPS 242.322 34.382 -20.099 19.628 0.721 0.721!
JOBU_GPS 242.308 35.337 -8.855 12.474 0.686 0.687!
MDAY_GPS 242.294 34.743 -13.129 15.444 0.737 0.733!
GS16_GPS 242.294 35.470 -9.687 11.689 0.700 0.702!
GS19_GPS 242.260 35.660 -9.932 11.302 0.702 0.702!
GS35_GPS 242.244 36.217 -7.475 6.811 1.150 1.130!
CERR_GPS 242.213 36.538 -7.687 6.259 0.726 0.742!
HOLC_GNR 242.155 34.458 -18.278 21.088 0.698 0.698!
TTAP_GPS 242.136 34.985 -11.569 15.029 0.702 0.702!
GS18_GPS 242.130 35.584 -10.971 11.220 0.702 0.704!
FORK_GGE 242.116 36.062 -7.775 8.371 1.100 1.110!
GS09_GPS 242.102 35.115 -10.842 14.191 0.707 0.709!
GS04_GPS 242.093 36.204 -8.833 8.021 0.696 0.698!
BM25_GPS 242.056 36.045 -9.030 10.689 0.752 0.771!
GS15_GPS 242.039 35.426 -11.198 11.820 0.705 0.707!
GS22_GPS 242.031 35.845 -9.902 11.221 0.735 0.737!
WAUC_GPS 242.013 37.092 -6.940 6.690 1.340 1.340!
GS03_GPS 241.965 35.668 -10.929 11.659 0.733 0.738!
FISH_GPS 241.954 37.737 -4.824 5.324 1.170 1.170!
GS01_GPS 241.918 35.225 -11.608 13.572 0.705 0.705!
GS02_GPS 241.900 35.494 -11.460 11.698 0.700 0.702!
RITA_GPS 241.899 36.914 -8.215 6.223 0.691 0.693!
BAMA_GPS 241.881 36.603 -8.723 8.254 0.696 0.698!
3188_GPS 241.868 36.466 -9.532 9.371 1.010 0.980!
KMED_GPS 241.864 36.023 -9.991 10.155 0.680 0.682!
WSTG_GPS 241.848 37.271 -7.143 5.337 0.716 0.718!
TROP_GPS 241.794 34.992 -12.529 14.860 0.805 0.802!
WMTN_GPS 241.764 37.572 -5.130 5.167 0.705 0.709!
ABER_GPS 241.712 36.979 -8.809 7.734 1.050 1.030!
OVRO_GPS 241.706 37.233 -7.627 7.205 0.682 0.684!
DEER_GPS 241.492 35.086 -12.328 14.733 0.700 0.700!
0614_GPS 241.412 35.745 -11.829 10.553 0.689 0.689!
SPRN_GPS 241.273 36.185 -11.578 10.421 0.841 0.735!
ALRT_PBO 297.660 82.494 -0.083 -1.667 0.900 0.600!
SCH2_PBO 293.167 54.832 0.846 0.665 0.474 0.524!
THU3_PBO 291.175 76.537 -0.883 -0.439 0.200 0.200!
NRC1_PBO 284.376 45.454 0.362 -0.560 0.474 0.418!
